time,pna,ea,wa,wp,eu,soi,esoi,nino12,nino34,nino4
138166.5,-49.293945,-117.50281,-150.98462,-128.1875,-35.67639,336.02344,499.8672,21.080673,24.746777,25.080915
138197.5,-48.046997,-133.71484,-162.61597,-186.30933,-69.09558,417.5547,454.5547,20.713724,24.25783,25.089922
138228.0,-20.842773,-146.99182,-182.94507,-234.75244,-70.15149,485.8828,386.21875,20.900665,24.312206,25.111275
138258.5,57.47815,-133.0238,-235.40161,-262.78735,-34.08423,374.71875,344.21875,21.56787,24.233961,25.086962
138289.0,-38.21753,-126.690674,-178.60449,-218.4856,-72.004395,351.91406,319.8828,22.796234,24.298267,24.965927
138319.5,59.04236,-89.56189,-225.35645,-253.82544,86.037476,124.84375,354.48438,23.908495,24.648172,25.29232
138350.5,105.447876,-39.367676,-198.59644,-279.0542,102.095825,96.50781,256.03906,24.896856,25.085781,25.474339
138380.0,13.679565,-60.84912,-294.79395,-135.80249,82.3988,180.66406,173.85938,26.312054,25.614977,25.918821
138409.5,40.304443,-85.131226,-210.35913,-220.92603,-8.459961,147.39062,248.20312,26.841425,26.310297,26.514088
138440.0,-4.0007324,-129.81616,-172.98608,-263.7146,-77.90039,163.64062,-27.210938,26.843355,27.29732,27.567698
138470.5,18.464233,-98.7655,-194.9336,-194.93188,1.1763916,175.67188,103.89844,25.228128,27.798164,28.080435
138501.0,17.839844,-133.75098,-203.51147,-173.41504,-47.3739,338.78906,85.828125,23.855865,27.733324,28.075294
138531.5,-12.386108,-128.62683,-203.74707,-155.54102,-43.99402,390.1172,70.08594,24.285334,27.353,27.774773
138562.5,-55.738403,-125.482544,-136.03198,-192.05786,-68.042114,400.97656,102.546875,23.53263,26.695007,27.246582
138593.0,-41.4386,-117.49011,-175.4148,-185.8872,-54.67273,374.375,85.796875,23.29845,26.327341,26.957088
138623.5,22.306396,-154.66418,-284.5171,-256.71313,-58.233643,434.9375,56.742188,23.41289,26.623867,27.215704
138654.0,11.8479,-114.397705,-229.60034,-293.73193,37.406006,410.46094,66.984375,24.054419,26.893805,27.379202
138684.5,66.22229,-91.92346,-160.35132,-223.34058,79.80127,296.10156,-63.632812,24.621864,27.176428,27.680845
138715.5,92.263794,-60.31909,-225.70947,-184.1853,23.095947,255.75781,102.421875,25.728504,27.184837,27.543152
138745.0,116.76404,-64.54883,-254.34106,-202.70386,41.068604,93.53125,-40.03125,26.763771,27.279926,27.649403
138774.5,69.39331,-108.9198,-318.27368,-264.6377,-58.680054,150.10938,81.24219,28.110643,27.269974,27.78697
138805.0,34.435303,-70.60144,-244.04224,-244.95679,29.283081,340.51562,-76.63281,27.426334,27.539719,27.760859
138835.5,15.296265,-111.15039,-174.7898,-251.52686,-30.079102,326.6797,211.625,23.918856,27.677744,28.17032
138866.0,23.479004,-116.848145,-131.33862,-156.16724,-7.298706,410.08594,326.4922,21.717443,26.947489,27.847292
138896.5,-14.300903,-130.42737,-191.38452,-123.918945,-22.590088,446.09375,254.28125,22.063063,26.130018,27.186945
138927.5,-32.247925,-126.42493,-167.29712,-136.91675,-34.44507,416.21875,280.96094,21.920729,25.10689,25.982569
138958.0,-47.179565,-109.347534,-246.29712,-193.0979,-93.541626,486.95312,230.39062,22.08976,24.710567,25.721918
138988.5,1.2097168,-163.96362,-195.75293,-298.06152,-80.1001,483.85156,243.00781,21.990063,24.84938,25.487713
139019.0,-11.527344,-159.65515,-218.70435,-267.1985,-29.597656,353.25,362.6797,23.650053,25.045454,25.78864
139049.5,-5.1523438,-192.27405,-239.4917,-176.30518,-32.435303,373.9453,287.6797,24.519953,25.113823,25.580048
139080.5,76.02405,-49.2417,-244.60083,-239.06299,43.99878,200.41406,233.45312,25.854008,25.451262,25.52305
139110.0,94.072876,-47.47278,-274.8728,-194.698,-5.944824,465.46094,83.72656,26.64385,26.3741,26.204866
139139.5,-25.858398,-149.50696,-304.64062,-216.24487,-64.20972,312.48438,151.71094,27.62284,26.670902,27.042196
139170.0,-0.6484375,-76.645996,-267.8999,-184.30542,54.11621,346.96094,190.32812,26.409409,26.907038,27.321404
139200.5,31.849487,-90.12463,-199.83643,-192.84131,-22.910767,279.1953,191.69531,23.213438,26.94078,27.491655
139231.0,4.654785,-91.29834,-175.99927,-139.01416,-49.941162,356.14844,343.9297,22.03497,27.062176,27.493637
139261.5,-25.802002,-51.749146,-131.27979,-137.5437,-22.083984,441.47656,307.84375,21.271168,26.24223,26.853416
139292.5,-28.421509,-114.19092,-159.01929,-186.06421,-35.842285,377.6875,281.96094,21.288752,25.029947,26.064638
139323.0,-26.990479,-87.319824,-176.02686,-211.47046,8.523315,462.95312,267.4453,20.980942,24.71894,25.906708
139353.5,28.037598,-137.64551,-236.68481,-311.042,-74.25244,431.4453,285.4297,21.576908,24.69933,25.660376
139384.0,7.272461,-118.81067,-248.08252,-334.5144,-44.235962,383.85156,362.0625,22.754477,24.585321,25.4644
139414.5,34.76831,-173.99036,-349.05713,-301.5542,2.8839111,276.6328,211.47656,23.810392,24.562256,25.18603
139445.5,2.7427979,-138.00024,-309.15063,-242.80249,66.979004,168.17188,290.67188,25.553751,24.593456,24.928644
139475.0,4.1452637,-159.81726,-336.42383,-186.10938,10.104004,57.4375,230.64062,26.036047,25.351442,25.451662
139504.5,7.4315186,-75.83862,-305.563,-221.2146,-6.592407,438.8047,218.26562,26.60132,25.40955,25.763384
139535.0,-17.433472,-164.79822,-225.55908,-183.55688,-38.447266,225.60938,244.28906,26.107286,25.747038,26.04457
139565.5,30.234497,-164.07239,-213.5857,-188.51978,-23.801025,294.15625,291.21875,23.003292,26.047928,26.44165
139596.0,-16.46936,-96.442505,-200.21191,-194.05176,-25.698975,376.3828,447.10156,20.857414,25.959085,26.53073
139626.5,-14.851196,-77.96094,-185.95093,-148.30688,-25.104492,439.96875,521.60156,20.056013,24.807413,25.522243
